frame,agent_id,x,y
0,0,4.26308,4.96286
0,1,4.91712,5.2952
0,2,5.10118,5.02996
0,3,5.71942,5.59843
0,4,5.01919,4.6939
0,5,5.25252,5.76027
0,6,5.14365,4.65322
0,7,4.96406,5.37364
0,8,4.95834,5.29334
0,9,4.61002,4.99385
0,10,5.03989,5.47422
0,11,4.50664,4.98537
0,12,5.20596,4.75208
0,13,4.65652,5.14567
0,14,4.59379,5.11045
0,15,5.36204,5.14318
0,16,5.00278,5.11292
0,17,5.30879,4.96869
0,18,4.68656,4.52458
0,19,5.15988,4.80674
0,20,5.24667,4.9187
0,21,4.83205,4.95129
0,22,4.26872,4.45925
0,23,4.89019,4.86692
0,24,5.06468,5.04776
0,25,5.41591,5.17652
0,26,5.1563,5.01101
0,27,5.34577,5.49771
0,28,4.48401,4.89868
0,29,4.85156,4.79576
0,30,4.41131,4.25126
0,31,5.16778,5.39479
0,32,5.14008,4.59261
0,33,4.78857,5.45152
0,34,4.53242,5.75436
0,35,4.96376,4.80017
0,36,5.67156,4.53254
0,37,4.68824,5.05267
0,38,5.36107,4.31009
0,39,4.71846,4.89011
0,40,4.66062,5.05939
0,41,4.27196,5.38685
0,42,4.89361,5.33407
0,43,4.90929,5.1276
0,44,4.99013,4.2388
0,45,4.75786,4.81127
0,46,5.23485,5.18405
0,47,5.12377,5.37497
0,48,4.70312,4.76306
0,49,5.04284,5.16018
1,0,4.04519,4.96198
1,1,4.91314,5.29129
1,2,5.10058,5.02739
1,3,5.95421,5.77061
1,4,5.01485,4.68822
1,5,5.28966,6.00853
1,6,5.14565,4.65403
1,7,4.96412,5.37597
1,8,4.96158,5.29162
1,9,4.61004,4.99167
1,10,5.03747,5.4851
1,11,4.50192,4.99014
1,12,5.21763,4.74845
1,13,4.65657,5.15448
1,14,4.58566,5.11675
1,15,5.36182,5.14036
1,16,5.00126,5.11096
1,17,5.322,4.96367
1,18,4.68601,4.52074
1,19,5.15712,4.80883
1,20,5.24798,4.9157
1,21,4.83291,4.95364
1,22,4.00189,4.37123
1,23,4.89261,4.86945
1,24,5.06132,5.04501
1,25,5.43824,5.17312
1,26,5.15796,5.01081
1,27,5.35056,5.49839
1,28,4.48084,4.8898
1,29,4.85137,4.78985
1,30,4.24423,3.98967
1,31,5.17194,5.39617
1,32,5.14198,4.58528
1,33,4.78379,5.45731
1,34,4.36792,6.0122
1,35,4.96609,4.80175
1,36,5.93305,4.37369
1,37,4.69261,5.05263
1,38,5.48359,4.04516
1,39,4.71641,4.89069
1,40,4.6594,5.05961
1,41,4.00778,5.48644
1,42,4.88807,5.33358
1,43,4.906,5.12775
1,44,5.00595,3.99712
1,45,4.75877,4.81126
1,46,5.23459,5.18598
1,47,5.12227,5.37151
1,48,4.69832,4.75915
1,49,5.04517,5.16284
2,0,3.92989,4.96053
2,1,4.90948,5.28761
2,2,5.10007,5.02491
2,3,6.16958,5.92928
2,4,5.01067,4.68243
2,5,5.32589,6.23196
2,6,5.14695,4.65487
2,7,4.96406,5.3783
2,8,4.96457,5.29015
2,9,4.6099,4.98955
2,10,5.0361,5.50057
2,11,4.49106,4.99695
2,12,5.23575,4.74145
2,13,4.65613,5.16325
2,14,4.57231,5.1292
2,15,5.3611,5.13915
2,16,4.99977,5.10925
2,17,5.34031,4.955
2,18,4.6809,4.51073
2,19,5.15458,4.81054
2,20,5.24854,4.91357
2,21,4.83368,4.9558
2,22,3.75885,4.30438
2,23,4.89475,4.87176
2,24,5.0581,5.04226
2,25,5.46691,5.17013
2,26,5.15995,5.01096
2,27,5.35992,5.50487
2,28,4.47177,4.87939
2,29,4.85116,4.78416
2,30,4.08886,3.753
2,31,5.17589,5.39768
2,32,5.14823,4.57167
2,33,4.77364,5.46983
2,34,4.21519,6.2467
2,35,4.96843,4.80323
2,36,6.17248,4.2359
2,37,4.69668,5.05277
2,38,5.5899,3.80201
2,39,4.71448,4.89117
2,40,4.65816,5.05998
2,41,3.76605,5.56679
2,42,4.88272,5.33334
2,43,4.90291,5.1279
2,44,5.01038,3.79279
2,45,4.75956,4.81131
2,46,5.23464,5.188
2,47,5.12093,5.36849
2,48,4.69368,4.75535
2,49,5.04741,5.16515
3,0,3.90459,4.9595
3,1,4.90612,5.28418
3,2,5.09966,5.02247
3,3,6.36695,6.07494
3,4,5.00662,4.6764
3,5,5.35963,6.43378
3,6,5.14733,4.65571
3,7,4.96386,5.3808
3,8,4.96729,5.28886
3,9,4.60938,4.98747
3,10,5.03497,5.52099
3,11,4.47725,5.00405
3,12,5.25914,4.73106
3,13,4.65667,5.17089
3,14,4.55479,5.1454
3,15,5.36063,5.1394
3,16,4.99831,5.10778
3,17,5.3629,4.94362
3,18,4.67183,4.49506
3,19,5.15241,4.81183
3,20,5.24865,4.91234
3,21,4.83436,4.95777
3,22,3.54141,4.25127
3,23,4.89666,4.87384
3,24,5.055,5.03955
3,25,5.50243,5.16723
3,26,5.16226,5.01146
3,27,5.37357,5.51679
3,28,4.45908,4.86729
3,29,4.85088,4.77859
3,30,3.94496,3.53806
3,31,5.17983,5.39929
3,32,5.15841,4.55264
3,33,4.7591,5.4885
