frame,agent_id,x,y
0,0,7.68353,9.75608
0,1,7.71645,10.7159
0,2,9.41923,7.31174
0,3,8.68252,9.79196
0,4,12.7464,12.3419
0,5,11.5731,10.2482
0,6,11.1301,9.61181
0,7,7.89231,7.61939
0,8,12.1198,9.57494
0,9,10.6744,12.4414
1,0,7.28853,9.71359
1,1,7.8175,11.1781
1,2,9.62327,6.9055
1,3,8.72459,9.796
1,4,12.667,12.5046
1,5,11.5696,10.2955
1,6,11.0928,9.57228
1,7,7.51207,7.2899
1,8,12.464,9.2526
1,9,10.5205,12.8382
2,0,6.89212,9.74709
2,1,8.13052,11.3531
2,2,9.80653,6.53711
2,3,8.75549,9.78676
2,4,12.8496,12.7443
2,5,11.5691,10.3414
2,6,11.0581,9.53434
2,7,7.17015,6.98435
2,8,12.3325,9.21203
2,9,10.3954,13.2158
3,0,6.53438,9.88812
3,1,8.00492,11.6793
3,2,10.0253,6.19363
3,3,8.77282,9.75877
3,4,13.0877,12.9612
3,5,11.5644,10.3928
3,6,11.0214,9.49536
3,7,6.86423,6.71148
3,8,12.5911,9.03416
3,9,10.2315,13.5599
4,0,6.28924,10.0698
4,1,9.25003,11.1318
4,2,10.2352,5.87884
4,3,8.77845,9.72872
4,4,13.1104,13.1278
4,5,11.5189,10.4438
4,6,10.991,9.45081
4,7,6.61718,6.61235
4,8,11.641,9.61836
4,9,10.0466,13.839
5,0,6.11834,10.3569
5,1,9.15494,11.0938
5,2,10.5491,5.6132
5,3,8.76343,9.67261
5,4,13.4299,13.2918
5,5,11.4553,10.4948
5,6,10.9597,9.38661
5,7,6.41493,6.46215
5,8,12.0725,9.4321
5,9,9.77997,14.1119
6,0,5.98105,10.6068
6,1,9.04651,11.0002
6,2,10.8322,5.36566
6,3,8.74199,9.60869
6,4,13.7049,13.4552
6,5,11.3382,10.562
6,6,10.9283,9.32505
6,7,6.26974,6.38941
6,8,12.4688,9.27263
6,9,9.5454,14.3711
7,0,5.85461,10.8252
7,1,9.02024,10.9549
7,2,11.0868,5.1349
7,3,8.71533,9.53902
7,4,13.8563,13.5517
7,5,11.2162,10.6369
7,6,10.9235,9.28803
7,7,6.13719,6.32249
7,8,12.8369,9.13264
7,9,9.33468,14.6146
8,0,5.73803,11.0181
8,1,9.06516,10.9279
8,2,11.3162,4.92033
8,3,8.68469,9.4666
8,4,13.8667,13.5629
8,5,11.0986,10.7156
8,6,10.9519,9.28283
8,7,6.04366,6.30209
8,8,13.18,9.00889
8,9,9.14246,14.8424
9,0,5.63039,11.1896
9,1,9.06357,10.8573
9,2,11.5226,4.72108
9,3,8.65241,9.39387
9,4,13.8788,13.5832
9,5,10.9876,10.7955
9,6,10.9878,9.27576
9,7,5.99333,6.33066
9,8,13.5008,8.8994
9,9,8.96545,15.0554
10,0,5.52946,11.3432
10,1,9.13921,10.8535
10,2,11.7077,4.53605
10,3,8.62041,9.32087
10,4,13.8459,13.5829
10,5,10.8828,10.8779
10,6,11.0319,9.26946
10,7,5.92171,6.31281
10,8,13.7829,8.80988
10,9,8.80094,15.2534
11,0,5.43547,11.4812
11,1,9.13046,10.7399
11,2,11.8757,4.36503
11,3,8.58858,9.24926
11,4,13.8762,13.6285
11,5,10.7851,10.9618
11,6,11.0755,9.25411
11,7,5.90832,6.36415
11,8,14.0139,8.74575
11,9,8.64688,15.4375
12,0,5.34485,11.6061
12,1,9.31447,10.7554
12,2,12.029,4.20716
12,3,8.55848,9.17762
12,4,13.8181,13.6151
12,5,10.6919,11.0505
12,6,11.1303,9.24979
12,7,5.83108,6.31391
12,8,14.1716,8.71252
12,9,8.5017,15.6073
13,0,5.25976,11.7193
13,1,9.23515,10.5444
13,2,12.1764,4.06966
13,3,8.52858,9.10961
13,4,13.8957,13.6939
13,5,10.6049,11.1421
13,6,11.1775,9.23148
13,7,5.88516,6.42156
13,8,14.3185,8.68045
13,9,8.36465,15.7647
14,0,5.17337,11.823
14,1,9.57555,10.6569
14,2,12.3167,3.95109
14,3,8.502,9.04066
14,4,13.7619,13.6169
14,5,10.5173,11.2395
14,6,11.2417,9.23804
14,7,5.77228,6.30526
14,8,14.3803,8.6671
14,9,8.23426,15.9093
15,0,5.09023,11.9181
15,1,9.25722,10.2784
15,2,12.4548,3.8506
15,3,8.47525,8.97929
15,4,13.9033,13.7458
15,5,10.4331,11.3417
15,6,11.2836,9.21088
15,7,5.97172,6.54793
15,8,14.5313,8.62247
15,9,8.11126,16.0436
16,0,5.00228,12.006
16,1,9.99895,10.6533
16,2,12.5838,3.76424
16,3,8.45451,8.91335
16,4,13.4898,13.4444
16,5,10.3418,11.4422
16,6,11.3511,9.22555
16,7,5.80109,6.35203
16,8,14.4981,8.62143
16,9,7.99259,16.1671
17,0,4.91027,12.0887
17,1,9.02873,9.68318
17,2,12.7121,3.6906
17,3,8.43331,8.86635
17,4,13.7163,13.6587
17,5,10.2398,11.5479
17,6,11.3743,9.16764
17,7,6.55166,7.11712
17,8,14.699,8.55845
17,9,7.88356,16.283
18,0,4.8164,12.1586
18,1,12.434,12.0068
18,2,12.8212,3.62504
18,3,8.4267,8.80714
18,4,11.0491,11.4342
18,5,10.1422,11.6335
18,6,11.4194,9.15208
18,7,6.32134,6.85344
18,8,14.3164,8.60309
18,9,7.77467,16.3876
19,0,4.72078,12.229
19,1,13.0143,12.5654
19,2,12.9366,3.56687
19,3,8.41641,8.7956
19,4,11.0633,11.4263
19,5,10.0026,11.7133
19,6,11.4166,9.0746
19,7,5.85876,6.39223
19,8,14.5663,8.57454
19,9,7.73356,16.4858
20,0,4.63429,12.2979
20,1,13.3548,12.9147
20,2,13.0513,3.51986
20,3,8.38612,8.77798
20,4,11.0946,11.424
20,5,9.88012,11.7909
20,6,11.4206,8.99873
20,7,5.62473,6.1306
20,8,14.7874,8.51518
20,9,7.66401,16.5712
21,0,4.5574,12.3568
21,1,13.6382,13.2141
21,2,13.1602,3.47796
21,3,8.34037,8.76345
21,4,11.1351,11.4261
21,5,9.77168,11.8677
21,6,11.428,8.92277
21,7,5.43757,5.91129
21,8,14.9874,8.44895
21,9,7.58473,16.6479
22,0,4.48889,12.4045
22,1,13.8887,13.4637
22,2,13.2625,3.4388
22,3,8.28189,8.75322
22,4,11.1824,11.432
22,5,9.67551,11.9438
22,6,11.4371,8.84621
22,7,5.27861,5.71806
22,8,15.1651,8.39897
22,9,7.50048,16.7174
23,0,4.42639,12.4426
23,1,14.1204,13.6451
23,2,13.3594,3.4044
23,3,8.2143,8.74639
23,4,11.2344,11.4417
23,5,9.59029,12.0192
23,6,11.4465,8.76883
23,7,5.14021,5.54414
23,8,15.3167,8.39152
23,9,7.41414,16.7807
24,0,4.3678,12.4735
24,1,14.3338,13.7563
24,2,13.4547,3.3812
24,3,8.14111,8.74145
24,4,11.2886,11.4549
24,5,9.51949,12.0961
